ID_TA,meals,rest_coord,rub_max,rub_min
d4132603,"['Breakfast', 'Lunch', 'Dinner', 'Brunch']","[55.6811346, 12.5493498]",,
d12658903,"['Lunch', 'Dinner', 'Brunch']","[51.5381506, 0.1442497]",,
d8873314,,,,
d6819273,"['Lunch', 'Dinner']","[47.4941428, 19.0536826]",876.0,350.0
d7993596,,,,
d1917352,,"[55.9576465, 3.1844659]",1020.0,306.0
d10692433,"['Breakfast', 'Lunch', 'Dinner', 'Brunch']","[41.396118, 2.1567277]",2189.0,876.0
d4912897,,,,
d753327,"['Breakfast', 'Dinner', 'Brunch', 'Lunch']","[50.0205, 19.8989253]",,
d9772877,,,,
d7205454,,"[41.4054839, 2.1914859]",1051.0,350.0
d5529357,,,,
d1039565,"['Lunch', 'Dinner', 'Late Night']","[48.1287567, 11.5947823]",,
d8055130,"['Lunch', 'Dinner', 'Brunch', 'Late Night']","[53.3474578, 6.2602488]",,
d783834,"['Lunch', 'Dinner']","[48.861048, 2.3091011]",,
d4271941,,"[41.39108, 2.1966874]",,
d1081666,"['Lunch', 'Dinner']","[41.3756142, 2.1663035]",,
d2529354,"['Breakfast', 'Lunch', 'Brunch', 'Late Night', 'Drinks']","[41.9005257, 12.4673447]",,
d1129601,"['Lunch', 'Dinner', 'Late Night']","[48.8795699, 2.3374685]",,
d10209970,"['Lunch', 'Dinner']","[50.0781897, 14.4162699]",876.0,438.0
d10357129,,"[52.524823, 13.465207]",,
d12697799,,,,
d3512248,['Drinks'],"[45.4717896, 9.2063758]",,
d4096785,"['Lunch', 'Dinner']","[48.8653956, 2.3319379]",,
d4351910,"['Breakfast', 'Lunch', 'Brunch']","[38.7125186, 9.1391618]",,
d3464626,['Dinner'],"[48.8629704, 2.3606014]",,
d11865739,,"[40.4661173, 3.6925188]",5254.0,3065.0
d5439486,"['Breakfast', 'Lunch', 'Dinner']","[51.59051555, 0.1032447]",,
d7805066,,,,
d7813713,"['Brunch', 'Breakfast', 'Lunch']","[51.5594043, 0.151707]",,
d720252,['Lunch'],"[51.65232, 0.1980385]",,
d8358662,"['Lunch', 'Dinner', 'Brunch', 'Drinks']","[45.465483, 9.1929861]",5129.0,1465.0
d10537317,,,,
d3208063,"['Lunch', 'Dinner']","[47.3808324, 8.5257454]",,
d9779736,,,,
d11537886,,,,
d4996101,,"[41.3896788, 2.1715624]",1576.0,1051.0
d5433452,,"[51.5243916, 0.2022954]",,
d742358,"['Dinner', 'Lunch']","[48.8852168, 2.3112602]",,
d3842518,"['Lunch', 'Dinner']","[45.7472552, 4.8234784]",,
d5430325,,,,
d6480293,"['Dinner', 'Lunch', 'Brunch', 'Drinks']","[41.8967934, 12.4700107]",1314.0,438.0
d1044837,,"[46.2203371, 6.1401294]",,
d1950874,"['Lunch', 'Dinner']","[55.9537122, 3.2002956]",,
d10344116,,"[49.6133193, 6.1271231]",2627.0,701.0
d8338479,,"[45.4905974, 9.2368838]",,
d3858966,,"[60.1675767, 24.929108]",1051.0,350.0
d1015487,"['Lunch', 'Dinner']","[45.4597292, 9.1716566]",,
d7623165,['Drinks'],"[47.4831323, 19.0522746]",,
d12005807,"['Breakfast', 'Brunch']","[47.4868551, 19.0632814]",,
d1894961,,"[55.9495728, 3.1875259]",1224.0,306.0
d719476,"['Lunch', 'Dinner', 'Late Night']","[48.8582025, 2.3018934]",,
d10583176,"['Drinks', 'Dinner']","[52.368102, 4.8903004]",,
d12702530,['Breakfast'],"[50.0759566, 14.4318979]",,
d8464894,,"[37.979424, 23.7106044]",701.0,175.0
d12017850,,"[41.37526645, 2.148291]",,
d8363369,,,,
d2006550,"['Breakfast', 'Lunch', 'Dinner', 'Drinks']","[51.5366031, 0.1919881]",3060.0,1020.0
d6555597,"['Lunch', 'Dinner']","[53.5522963, 9.9925645]",,
d8413273,['Lunch'],"[48.8679191, 2.3477281]",350.0,263.0
d1099421,,"[41.3893292, 2.1718322]",2627.0,876.0
d3747829,"['Dinner', 'Lunch']","[47.6395104, 8.7904716]",,
d8789702,,"[41.392482, 2.2005733]",2277.0,701.0
d11661957,,"[45.750189, 4.8536593]",,
d4352024,,,,
d4768338,"['Dinner', 'Lunch']","[50.0674578, 14.3448243]",,
d1211742,"['Lunch', 'Dinner', 'Late Night']","[59.9363837, 10.765509]",,
d3190988,"['Lunch', 'Dinner', 'Brunch', 'Breakfast']","[52.510375, 13.2921145]",,
d1488587,"['Lunch', 'Dinner', 'Drinks']","[41.897515, 12.4833598]",,
d9974974,,"[41.9197324, 12.498942]",4379.0,876.0
d2163872,"['Lunch', 'Dinner']","[37.9764972, 23.7219842]",,
d2659169,,"[47.3734037, 8.52957]",1813.0,709.0
d4008269,"['Lunch', 'Dinner', 'Drinks']","[46.19951, 6.15255]",4396.0,1465.0
d1060335,,"[45.7623366, 4.8349306]",2189.0,963.0
d804959,,,,
d4942769,"['Lunch', 'Dinner']","[48.159066, 11.5865054]",,
d1641918,"['Dinner', 'Brunch', 'Drinks', 'Breakfast', 'Lunch']","[40.4230217, 3.70736]",1751.0,788.0
d2243804,['Dinner'],"[51.4949693, 0.1272368]",,
d984117,['Dinner'],"[48.2067625, 16.3235703]",1246.0,659.0
d10874688,,"[48.852302, 2.3568432]",,
d8394578,"['Breakfast', 'Brunch', 'Lunch']","[53.5677604, 9.9643637]",876.0,175.0
d4366855,,"[47.3612306, 8.535732]",,
d11916719,,"[59.3415352, 18.032073]",,
d10404717,"['Lunch', 'Dinner']","[40.4746598, 3.6875834]",,
d10674791,,"[40.4346632, 3.6476029]",,
d697921,,"[47.3706714, 8.5434769]",6375.0,806.0
d11934714,,"[38.7103577, 9.1397237]",2627.0,525.0
d7728397,['Dinner'],"[55.949658, 3.1856138]",,
d1035454,"['Drinks', 'Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Late Night']","[48.8541291, 2.3235461]",,
d6558103,"['Lunch', 'Dinner']","[45.4924685, 9.216186]",,
d7213390,,"[48.1895487, 16.2681394]",3065.0,350.0
d7209006,,"[53.3503534, 6.2747084]",,
d12542786,,"[41.4173306, 2.1822226]",876.0,438.0
d719490,,,,
d12158176,"['Brunch', 'Drinks', 'Breakfast', 'Lunch']","[41.3905498, 2.1400193]",,
d1390054,,"[51.4618642, 0.199422]",1530.0,408.0
d794378,,"[40.4256125, 3.7039885]",2627.0,1226.0
d10367087,"['Breakfast', 'Lunch', 'Dinner']","[59.9082679, 10.7595799]",,
d5949427,"['Breakfast', 'Lunch', 'Dinner']","[48.8555949, 2.2926752]",,
d5439107,,,,
d1315069,"['Lunch', 'Dinner', 'Late Night', 'Drinks']","[48.2081516, 16.3690343]",,
d3961550,,"[51.5519242, 0.0441495]",1938.0,816.0
d11812750,"['Lunch', 'Dinner']","[45.4959851, 9.1416401]",,
d12242272,"['Breakfast', 'Lunch', 'Dinner']","[47.4880515, 19.0983309]",,
d10595163,,"[41.9337985, 12.5370706]",613.0,263.0
d1955767,"['Breakfast', 'Dinner', 'Late Night']","[45.4904613, 9.1958373]",,
d2501654,,,,
d12218373,"['Lunch', 'Dinner']","[48.8726732, 2.3551623]",,
d2299212,"['Lunch', 'Dinner', 'Drinks']","[50.074122, 14.4184286]",,
d1358128,,"[53.5537591, 10.0088146]",2364.0,525.0
d2012798,"['Dinner', 'Drinks']","[51.4761833, 0.2045368]",,
d12352705,,,,
d3365429,,"[38.6873476, 9.14734025]",,
d6985287,['Dinner'],"[51.5162376, 0.1187679]",,
d4291450,"['Breakfast', 'Lunch']","[45.4766097, 9.1841472]",,
d8530671,"['Breakfast', 'Brunch']","[55.9516048, 3.1987608]",,
d5509303,,,,
d8491270,,,,
d7794226,,,,
d7233222,,"[52.3608544, 4.8687272]",1226.0,438.0
d10497849,"['Lunch', 'Dinner']","[41.3867148, 2.17179925]",,
d8450326,"['Dinner', 'Lunch']","[48.83033315, 2.3533888]",,
d3250383,,"[48.8419888, 2.32696575]",1319.0,659.0
d2442425,"['Lunch', 'Dinner', 'Late Night']","[41.892715, 12.477764]",3941.0,1751.0
d1340172,,,,
d2402967,,,,
d4431439,,"[41.3975897, 2.1516415]",1576.0,1401.0
d7186376,"['Dinner', 'Drinks']","[50.8249398, 4.3504686]",,
d8818988,,"[37.9695133, 23.7308472]",5254.0,3065.0
d2006403,"['Lunch', 'Dinner', 'Brunch', 'Late Night']","[51.5075714, 0.1267719]",2189.0,876.0
d8343762,['Dinner'],"[59.3442814, 18.0336366]",,
d8631643,,"[48.8366627, 2.282489]",,
d9563493,"['Breakfast', 'Brunch', 'Lunch']","[59.3398185, 18.0356274]",,
d3735341,"['Lunch', 'Dinner', 'Late Night']","[50.8463164, 4.4152189]",3941.0,2627.0
d9766274,,"[41.4039733, 2.1423773]",,
d10782659,"['Lunch', 'Dinner']","[40.4011795, 3.6062051]",,
d2010928,"['Lunch', 'Dinner']","[40.4218283, 3.6099965]",,
d4406833,,,,
d2560257,"['Lunch', 'Breakfast', 'Dinner', 'Brunch']","[46.0481899, 14.5016479]",1664.0,263.0
d1039004,"['Lunch', 'Dinner', 'Late Night']","[53.463625, 9.9807495]",,
d9596611,,"[52.2253027, 21.0041837]",764.0,382.0
d6848056,,"[53.5675829, 10.0453698]",1576.0,350.0
d733260,,"[51.4973733, 0.1638872]",,
d2234950,,"[51.5130781, 0.123559]",1905.0,733.0
d8861762,,,,
d12786666,,"[45.4646078, 9.2083315]",5129.0,2198.0
d3726994,['Dinner'],"[46.20702, 6.22824]",,
d4601489,"['Lunch', 'Dinner']","[48.8326103, 2.3033826]",,
d12458017,,"[37.9767796, 23.7222473]",1314.0,438.0
d10072596,"['Lunch', 'Dinner']","[48.8806409, 2.3500587]",,
d11925797,"['Lunch', 'Dinner', 'Brunch']","[41.8733969, 12.447798]",,
d4149631,"['Lunch', 'Dinner']","[48.19850085, 16.36161195]",,
d793195,"['Lunch', 'Dinner', 'Late Night', 'Drinks']","[41.8994913, 12.4683105]",,
d12330103,,,,
d5122926,"['Lunch', 'Dinner']","[51.4766655, 0.1305137]",,
d8566225,,"[50.877793, 4.4092764]",2189.0,1051.0
d4803221,,,,
d719833,"['Lunch', 'Dinner', 'Late Night']","[48.8732848, 2.3005062]",,
d10699715,,,,
d6838994,"['Lunch', 'Dinner']","[45.4614851, 9.1432292]",,
d5863907,"['Dinner', 'Late Night']","[53.3329796, 6.2487531]",8757.0,3941.0
d3206539,"['Lunch', 'Dinner', 'Brunch', 'Drinks']","[51.5236819, 0.1586294]",1632.0,918.0
d7283845,,,,
d3358302,,"[47.5531158, 19.0312673]",4470.0,147.0
d8380183,"['Dinner', 'Late Night', 'Drinks']","[48.1938616, 16.3359971]",701.0,175.0
d12221297,,"[52.4899549, 13.4252019]",,
d5449751,"['Late Night', 'Drinks', 'Dinner']","[59.33989, 18.0627268]",3454.0,1295.0
d5442988,,"[51.6511986, 0.0594872]",,
d6507909,['Lunch'],"[45.4630767, 9.182518]",,
d8071201,,"[45.4781508, 9.2055007]",2627.0,701.0
d5502586,,"[55.6788903, 12.5478069]",1519.0,695.0
d11804639,['Dinner'],"[52.2419228, 21.0217351]",,
d8447761,,,,
d8498075,['Dinner'],"[38.7206852, 9.1543394]",,
d10298781,,"[40.4328652, 3.7026416]",1314.0,876.0
d4149261,"['Lunch', 'Dinner', 'Breakfast']","[52.586693, 13.2853059]",,
d5267617,"['Lunch', 'Breakfast']","[50.8409041, 4.368824]",,
d2663153,"['Lunch', 'Dinner', 'Late Night', 'Drinks']","[37.9763628, 23.7231099]",,
d1336099,['Late Night'],"[48.8460196, 2.34722355]",,
d12537216,['Dinner'],"[52.4976002, 13.2918442]",,
d7123786,"['Lunch', 'Dinner']","[50.0909249, 14.4279238]",,
d2627823,,"[60.1805434, 24.9499146]",,
d8334803,,"[49.6133193, 6.1271231]",,
d7123784,,"[50.063023, 14.3899801]",,
d10198322,"['Lunch', 'Dinner']","[37.9687883, 23.7430568]",10991.0,953.0
d5890647,"['Lunch', 'Dinner']","[45.7560103, 4.8572476]",,
d734226,,,,
d2173636,"['Lunch', 'Dinner', 'Late Night']","[52.3719499, 4.8952756]",,
d2180973,"['Brunch', 'Lunch', 'Dinner', 'Late Night', 'Drinks']","[40.4136438, 3.7086208]",,
d5423615,"['Lunch', 'Dinner', 'Brunch', 'Late Night']","[55.9807215, 3.17829305]",,
d4153757,,"[59.3434949, 18.0528884]",,
d10297985,"['Lunch', 'Dinner', 'Brunch']","[47.5782907, 19.095539]",,
d4760413,"['Lunch', 'Dinner']","[52.3519698, 4.902825]",,
d1421130,,"[51.48847, 0.165884]",2931.0,1465.0
d8601281,,,,
d12157888,,,,
d3506724,,"[41.9078985, 12.4752085]",3297.0,1465.0
d8764458,"['Breakfast', 'Lunch']","[48.0957628, 11.5250469]",,
d715482,,,,
d8630907,,"[41.1771813, 8.622434]",1751.0,175.0
d12219557,,"[53.3511013, 6.2506287]",,
d4263070,,"[59.3414362, 18.0443863]",1209.0,907.0
d798940,"['Lunch', 'Dinner']","[51.5321914, 0.1052542]",,
d2394389,"['Lunch', 'Dinner', 'Late Night']","[38.7310639, 9.1476279]",,
d7390005,"['Drinks', 'Lunch', 'Dinner']","[41.9058338, 12.4793721]",,
d6672661,"['Brunch', 'Lunch', 'Dinner', 'Drinks']","[51.5562935, 0.1789103]",1224.0,612.0
d7240050,"['Lunch', 'Dinner', 'Drinks']","[55.67889295, 12.5905316]",1295.0,589.0
d812369,,"[52.5059912, 13.3001734]",2189.0,876.0
d10096430,,"[41.4117902, 2.1688409]",,
d4453348,"['Lunch', 'Dinner']","[48.1368629, 17.1161887]",,
d3709223,,"[37.9771471, 23.71124085]",,
d753272,,"[52.3654983, 4.8763914]",,
d1079741,,,,
d1633388,"['Lunch', 'Dinner', 'Late Night']","[50.0911485, 14.4257709]",,
d10351447,,"[52.2353729, 21.0296028]",,
d850170,"['Lunch', 'Dinner', 'Late Night']","[60.1531078, 24.9525299]",4554.0,876.0
d1989966,['Dinner'],"[51.4757208, 0.18188795]",,
d717423,,"[41.4020787, 2.1464633]",,
d5804401,"['Lunch', 'Dinner']","[48.8674147, 2.2816682]",,
d7123241,,"[50.071369, 14.4025265]",,
d10448162,,,,
d11915261,,"[41.3765789, 2.1571479]",1314.0,175.0
d4474379,,,,
d997265,,"[41.3916067, 2.1772059]",,
d10164804,"['Lunch', 'Dinner']","[41.9479737, 12.547853]",,
d997209,"['Lunch', 'Dinner']","[41.3982788, 2.1635399]",,
d5558429,"['Lunch', 'Late Night']","[50.0580741, 19.9485171]",,
d718902,"['Lunch', 'Dinner']","[51.5241354, 0.1097866]",,
d1022457,,"[51.523108, 0.0988143]",3737.0,3370.0
d11045563,"['Lunch', 'Dinner', 'Drinks']","[48.8538518, 2.3967896]",,
d3901842,,"[48.8413896, 2.3725321]",,
d5121450,['Lunch'],"[51.5062568, 0.0878224]",,
d2048562,"['Lunch', 'Dinner']","[45.4940944, 9.1437375]",,
d12050621,,,,
d3628293,"['Lunch', 'Dinner']","[45.4528012, 9.1460361]",,
d2014547,"['Late Night', 'Drinks']","[51.5153044, 0.1064193]",,
d10546521,,,,
d12657457,"['Breakfast', 'Lunch', 'Brunch']","[47.3790886, 8.5437047]",,
d2434954,,"[52.5261834, 13.3926337]",,
d8180244,,"[37.9717774, 23.7472509]",,
d5779953,"['Lunch', 'Dinner']","[51.4364974, 0.1612544]",,
d12571253,,,,
d1043897,['Dinner'],"[51.584502, 0.1154688]",,
d719877,"['Lunch', 'Dinner', 'Late Night']","[48.8206818, 2.3637187]",,
d2311197,"['Dinner', 'Lunch']","[52.3633474, 4.8751896]",1099.0,513.0
d8465468,['Dinner'],"[45.5150696, 9.2117174]",,
d3323849,,,,
d988024,,"[40.4168202, 3.6970832]",,
d1057083,"['Lunch', 'Dinner', 'Late Night']","[47.4414601, 19.1090012]",,
d13294426,,"[59.3636384, 17.8723213]",,
d5929709,,"[53.3226182, 6.2369889]",,
d7222975,['Dinner'],"[48.8675982, 2.3440646]",,
d11489057,,"[48.8877164, 2.3351351]",14654.0,1465.0
d1014022,,"[51.548443, 0.141339]",2550.0,1530.0
d5011155,"['Dinner', 'Lunch']","[51.410805, 0.2097165]",,
d12896141,"['Breakfast', 'Drinks', 'Lunch', 'Dinner', 'Brunch']","[40.4067765, 3.694241]",,
d6665780,"['Breakfast', 'Lunch', 'Dinner']","[45.763811, 4.855603]",,
d13323261,,"[50.8491381, 4.3508293]",,
d9853613,,,,
d5038693,['Drinks'],"[41.896606, 12.491498]",,
d4344950,['Dinner'],"[40.4653061, 3.6932034]",,
d9461008,,,,
d4348495,"['Lunch', 'Dinner']","[45.4193734, 9.1577332]",,
d5811128,"['Lunch', 'Breakfast', 'Dinner']","[41.4286856, 2.1627906]",,
d11954097,,,,
d5795964,,,,
d7123644,"['Lunch', 'Dinner']","[50.0778946, 14.4273548]",,
d7215587,"['Breakfast', 'Lunch', 'Dinner', 'Brunch']","[40.4628985, 3.687558]",,
d5220147,"['Lunch', 'Dinner']","[51.4393711, 0.05387]",,
d8692585,,,,
d10375407,,"[41.8909575, 12.5105059]",,
d944903,"['Dinner', 'Late Night']","[59.3454174, 18.0408705]",,
d5617546,"['Lunch', 'Dinner', 'Late Night']","[40.4137852, 3.7123766]",,
d5959538,"['Lunch', 'Dinner']","[48.1968199, 16.373827]",1314.0,438.0
d10192279,"['Lunch', 'Dinner']","[50.061309, 19.9407232]",860.0,57.0
d7123252,"['Brunch', 'Drinks', 'Breakfast', 'Lunch', 'Dinner']","[49.9781499, 14.3944002]",14888.0,10947.0
d1050549,,"[60.1799609, 24.9548371]",1685.0,879.0
d12406156,,"[38.6998006, 9.2278762]",,
d6878548,"['Lunch', 'Dinner', 'Brunch', 'Late Night', 'Drinks']","[37.9773643, 23.7285784]",788.0,263.0
d11813249,"['Breakfast', 'Lunch', 'Dinner']","[60.1557077, 24.8822187]",,
d9991537,['Lunch'],"[48.8700669, 2.3412621]",,
d13007988,"['Brunch', 'Breakfast', 'Lunch', 'Dinner']","[48.8493061, 2.3781811]",2102.0,963.0
d4054754,"['Late Night', 'Drinks']","[45.486882, 9.2301476]",,
d886759,,"[51.4799707, 0.0567741]",2550.0,1530.0
d8096866,,,,
d695131,,"[48.8792017, 2.3375919]",,
d9756926,,,,
d5800216,['Lunch'],"[48.8680069, 2.3354262]",,
d8682347,,"[51.4128489, 0.1863526]",,
d10153884,,"[55.6836309, 12.5693389]",530.0,353.0
d7991155,"['Dinner', 'Lunch']","[45.7865128, 4.811326]",,
d697300,"['Lunch', 'Dinner', 'Breakfast']","[38.728226, 9.1574223]",,
d4108178,,"[38.708785, 9.1536584]",,
d911399,"['Lunch', 'Dinner', 'Late Night']","[51.4937539, 0.1507776]",3570.0,1632.0
d8300399,"['Lunch', 'Dinner', 'Brunch', 'Drinks']","[48.8596034, 2.4050602]",2189.0,1051.0
d6591688,['Lunch'],"[48.8662933, 2.3360525]",,
d2062908,"['Lunch', 'Dinner', 'Brunch', 'Late Night']","[52.348763, 4.893883]",,
d11753783,"['Breakfast', 'Lunch', 'Dinner']","[41.3934435, 2.1459645]",2627.0,876.0
d4733483,"['Lunch', 'Dinner']","[50.0722654, 14.4329454]",,
d12554927,"['Lunch', 'Dinner']","[46.2101822, 6.1508764]",,
d7123253,,,,
d8695881,['Dinner'],"[59.3181675, 18.0336767]",,
d4769602,"['Breakfast', 'Lunch', 'Dinner']","[50.1297442, 14.4689405]",,
d3200440,"['Lunch', 'Dinner', 'Brunch', 'Late Night']","[40.4131215, 3.7132563]",2189.0,1051.0
d12929620,"['Lunch', 'Dinner']","[48.8599139, 2.2790478]",,
d1048572,,"[48.8285939, 2.3506653]",1314.0,1051.0
d7612323,,,,
d11978116,"['Breakfast', 'Late Night', 'Drinks', 'Lunch', 'Dinner']","[51.5216329, 0.1099519]",612.0,204.0
d10438482,,"[52.3521353, 4.8851315]",1314.0,788.0
d2169718,"['Lunch', 'Dinner', 'Late Night']","[45.4553556, 9.1895245]",3766.0,1927.0
d3454690,,"[40.39690005, 3.6833544]",3065.0,876.0
d8421343,,"[52.5168701, 13.3891908]",,
d1340145,"['Lunch', 'Dinner', 'Late Night']","[53.5509971, 9.9820763]",,
d10532932,"['Breakfast', 'Lunch']","[41.89978545, 12.529438]",,
d983785,"['Lunch', 'Dinner', 'Late Night']","[48.1398457, 11.6062718]",,
d2410363,"['Dinner', 'Late Night', 'Drinks']","[51.5337526, 0.1012635]",,
d8564464,,,,
d12030034,"['Lunch', 'Dinner']","[51.50709295, 0.1442783]",,
d1047970,,"[47.3669614, 8.5477659]",3547.0,1419.0
d7097640,,"[52.2329781, 21.0183532]",1051.0,344.0
d718705,,"[48.8557402, 2.3560882]",3503.0,1138.0
d11926850,,,,
d800947,,"[47.3718963, 8.5402993]",7883.0,788.0
d3656619,,"[40.4362881, 3.6933476]",1905.0,1392.0
d3438883,"['Dinner', 'Lunch']","[48.827231, 2.3487741]",,
d2641381,"['Lunch', 'Dinner']","[41.946939, 12.5433159]",,
d6943201,"['Dinner', 'Late Night']","[41.8543161, 12.5582319]",,
d7714258,,,,
d10120515,"['Lunch', 'Dinner']","[48.831863, 2.358089]",2189.0,438.0
d9604640,"['Lunch', 'Dinner']","[48.1332773, 11.6012915]",,
d8281782,,,,
d7160009,"['Lunch', 'Dinner']","[55.6781098, 12.5804053]",,
d3803868,['Drinks'],"[59.9208013, 10.7278166]",,
d4600747,,"[41.4105289, 2.2168175]",1751.0,1314.0
d5439482,,,,
d1750163,,"[51.5249525, 0.1252851]",1020.0,612.0
d8305867,,,,
d12336098,,"[40.36842695, 3.7803262]",,
d5778496,"['Lunch', 'Breakfast', 'Dinner']","[45.7380878, 4.8519144]",,
d3189406,,"[52.3511344, 4.9335203]",5254.0,175.0
d7341119,"['Lunch', 'Dinner']","[41.39009205, 2.17862355]",,
d3598472,['Dinner'],"[50.1115108, 14.5005613]",,
d11894338,,,,
d7341794,"['Lunch', 'Dinner']","[41.141124, 8.6129263]",,
d12991592,,"[41.404582, 2.1390412]",2189.0,876.0
d5792222,"['Dinner', 'Lunch']","[50.816733, 4.299516]",,
d6701532,"['Dinner', 'Lunch']","[52.5135906, 13.4535566]",,
d3566437,,"[51.5764073, 0.2231058]",,
d4925385,['Dinner'],"[51.5277055, 0.0559819]",,
d8466751,,"[51.5525191, 0.070973]",1020.0,306.0
d10037529,"['Breakfast', 'Brunch', 'Lunch']","[40.4410969, 3.6746231]",,
d1317114,"['Lunch', 'Dinner', 'Late Night']","[55.9459816, 3.2125303]",,
d8462230,['Dinner'],"[41.43765, 2.1956047]",,
d8280300,"['Breakfast', 'Lunch', 'Drinks']","[38.7109311, 9.1356311]",,
d11876584,,"[45.4526869, 9.1759416]",5254.0,2189.0
d2211867,"['Lunch', 'Breakfast']","[41.33115645, 2.1159868]",,
d11747446,,"[37.9824397, 23.7364295]",,
d5816926,"['Dinner', 'Breakfast', 'Lunch', 'Brunch']","[51.627896, 0.1743906]",,
d11804182,,,,
d3265092,,"[55.9764344, 3.1717703]",1832.0,366.0
d10377541,,,,
d7593069,"['Dinner', 'Late Night', 'Drinks']","[50.0736521, 14.3954075]",33.0,7.0
d4581425,"['Lunch', 'Dinner']","[38.7072497, 9.1415447]",,
d8341126,,"[45.4800518, 9.2254119]",,
d10351207,,"[45.7569397, 4.8633174]",,
d3511763,,"[51.4156396, 0.0530265]",,
d10157957,['Dinner'],"[53.3626571, 6.2180903]",,
d8674452,"['Breakfast', 'Lunch', 'Dinner']","[40.3172177, 3.7274675]",1226.0,788.0
d5529388,"['Breakfast', 'Lunch', 'Dinner']","[52.5483165, 13.4130471]",,
d12281887,,"[38.7278084, 9.1370259]",,
d12492830,,"[40.413611, 3.6985383]",,
d8274912,,,,
d12532895,"['Breakfast', 'Lunch', 'Dinner', 'Brunch', 'Drinks']","[48.118318, 11.6103095]",701.0,263.0
d8784420,"['Late Night', 'Drinks']","[48.1520716, 11.5688713]",9633.0,263.0
d13136328,,"[48.1763192, 16.3662079]",,
d10748643,,,,
d2239471,"['Lunch', 'Drinks', 'Breakfast', 'Dinner']","[46.2018537, 6.1455927]",,
d12858869,,"[48.2055173, 16.3516781]",2627.0,701.0
d8321486,['Dinner'],"[48.8474641, 2.3223575]",2802.0,963.0
d13008588,,"[59.3340535, 18.07529]",,
d11962056,"['Breakfast', 'Lunch']","[53.5580946, 9.9080695]",876.0,525.0
d6653221,"['Breakfast', 'Lunch', 'Dinner']","[45.4715996, 9.2298358]",,
d1035612,"['Lunch', 'Dinner', 'Breakfast', 'Late Night']","[48.8659175, 2.2979473]",,
d1023159,,"[51.5128601, 0.1284955]",3570.0,2040.0
d3547951,"['Lunch', 'Drinks', 'Late Night', 'Dinner']","[51.4614036, 0.1140324]",,
d5795285,,,,
d8089679,,"[55.6843806, 12.503769]",,
d8430551,"['Lunch', 'Dinner']","[48.8709384, 2.3765116]",,
d4274493,,"[46.2235575, 6.1474616]",,
d6706915,"['Dinner', 'Lunch']","[41.3850098, 2.140862]",,
d4552280,,"[59.32942, 18.0659744]",,
d4473794,,"[45.4953524, 9.2285027]",,
d3384923,"['Lunch', 'Dinner', 'Brunch']","[59.9072298, 10.6955263]",,
d11955280,,"[52.3666344, 4.894144]",2189.0,876.0
d1967662,"['Lunch', 'Dinner']","[52.5109167, 13.314909]",,
d8530283,"['Dinner', 'Lunch']","[52.5242093, 13.3490568]",,
d8516386,"['Breakfast', 'Lunch', 'Brunch']","[51.5173265, 0.0879946]",,
d7755549,,,,
d8632714,,"[59.9186334, 10.7472324]",,
d3733565,"['Dinner', 'Late Night']","[45.4426141, 9.2152106]",,
d12524217,"['Breakfast', 'Lunch', 'Dinner']","[51.5065366, 0.0276665]",,
d4988076,['Breakfast'],"[47.4818079, 19.0734067]",,
d11945842,['Breakfast'],"[40.4574532, 3.5868668]",,
d8490136,"['Breakfast', 'Lunch', 'Dinner']","[52.4713414, 13.4299089]",,
d10148561,"['Breakfast', 'Lunch', 'Dinner']","[38.7104291, 9.2113737]",876.0,438.0
d11801590,['Lunch'],"[48.8726545, 2.3758844]",,
d784899,"['Lunch', 'Dinner', 'Brunch', 'Late Night', 'Drinks']","[51.5133463, 0.0905464]",9159.0,2271.0
d9792863,"['Lunch', 'Brunch', 'Dinner', 'Drinks']","[38.7070488, 9.147288]",,
d5449378,"['Lunch', 'Dinner']","[48.1303728, 11.5711571]",,
d1404859,,,,
d5963762,"['Dinner', 'Lunch']","[40.43163885, 3.79932425]",,
d1957792,"['Lunch', 'Dinner', 'Late Night', 'Drinks']","[48.1375359, 11.5794291]",,
d754356,,"[51.486031, 0.1799695]",,
d2257009,,"[51.4183172, 0.1783476]",1836.0,1224.0
d7727300,['Dinner'],"[48.1959833, 16.3597454]",,
d697471,,"[40.4137903, 3.7001452]",2627.0,1751.0
d7592718,"['Lunch', 'Breakfast', 'Dinner']","[46.1018669, 14.5335454]",,
d938691,"['Dinner', 'Lunch', 'Drinks']","[51.5054347, 0.2248055]",3570.0,1530.0
d4036304,"['Lunch', 'Dinner']","[48.1581791, 11.5843326]",,
d1144515,"['Lunch', 'Dinner']","[40.4591974, 3.7832173]",,
d4546389,,"[40.4212643, 3.7176617]",,
d13004913,,"[47.3654599, 8.5359101]",2523.0,788.0
d13275836,"['Lunch', 'Dinner', 'Drinks']","[48.8619126, 2.3486726]",,
d796952,,"[51.4973581, 0.2120531]",2550.0,2040.0
d680323,,"[51.5018627, 0.1180591]",2040.0,1020.0
d968022,,"[50.832468, 4.3666003]",4379.0,876.0
d7360791,"['Lunch', 'Dinner', 'Drinks']","[41.1485942, 8.5862101]",,
d4766908,"['Breakfast', 'Lunch', 'Dinner', 'Brunch']","[50.0646332, 19.9418428]",,
d7361810,,,,
d3982877,"['Lunch', 'Brunch', 'Dinner']","[51.5262953, 0.1254753]",,
